ds_owner,id,gender,age_group,handedness,education,color_blindness,hours_sleep,art_light_r_w,light_dir_r_s ,photo_training,carto_gis_training,geovis_3d_training,satellite_training,photo_exposure,carto_gis_exposure,geovis_3d_exposure,satellite_exposure,mask,circle_below,circle_above,shapes_01,shapes_02,shapes_03,shapes_04,shapes_05,shapes_06,shapes_07,shapes_08,shapes_09,shapes_10,Q10_R000_0,Q10_R000_270,Q10_R000_292_5,Q10_R000_315,Q10_R000_337_5,Q20_R045_0,Q20_R045_270,Q20_R045_292_5,Q20_R045_315,Q20_R045_337_5,Q30_R090_0,Q30_R090_270,Q30_R090_292_5,Q30_R090_315,Q30_R090_337_5,Q40_R135_0,Q40_R135_270,Q40_R135_292_5,Q40_R135_315,Q40_R135_337_5,Q50_V000_0,Q50_V000_270,Q50_V000_292_5,Q50_V000_315,Q50_V000_337_5,Q60_V045_0,Q60_V045_270,Q60_V045_292_5,Q60_V045_315,Q60_V045_337_5,Q70_V090_0,Q70_V090_270,Q70_V090_292_5,Q70_V090_315,Q70_V090_337_5,Q80_V135_0,Q80_V135_270,Q80_V135_292_5,Q80_V135_315,Q80_V135_337_5
a,1,m,20,l,Currently registered at University/College for Bachelor degree or equivalent,No,6-7 hours,Overhead light,"B,C,D,F,M",5,2,4,5, ,daily, , ,,,,,,,,,,,,,,4,1,1,5,4,5,1,5,5,5,5,4,5,5,5,5,2,4,5,4,2,5,5,2,2,1,5,1,1,1,1,4,4,1,1,1,1,1,2,1
a,2,f,20,r,High school diploma or equivalent ( e.g. NCS or matric ),No,7-8 hours,Overhead light,"A,B,C,D,E,F,G,H,I,J,K,L,M",3,5,3,3,never, ,never,never,,,,,,,,,,,,,,4,5,5,5,4,5,5,5,5,5,5,2,5,5,5,5,4,4,5,5,2,1,1,1,1,1,1,1,5,5,2,2,2,2,5,2,2,2,5,1
a,3,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,7-8 hours,Desktop light,"F,G,H,I,J",3,4,3,3, , , , ,,,,,,,,,,,,,,2,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a,4,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,7-8 hours,Overhead light,"C,J,M",4,5,3,5, ,daily, , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a,5,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,6-7 hours,Overhead light,"A,B,C,F,I,L,M",4,5,4,4, , , , ,,,,,,,,,,,,,,5,2,5,2,4,5,5,5,4,5,5,4,4,4,5,4,1,5,4,4,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,5,2,1,1
a,6,m,33,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,both,"C,G",1,1,1,4,never,never,never, ,,,,,,,,,,,,,,4,4,4,4,4,5,4,4,4,2,4,3,4,4,4,4,2,5,4,4,1,2,2,2,2,1,2,2,1,1,4,2,2,4,2,1,5,5,2,2
a,7,f,23,r,Currently registered at University/College for Bachelor degree or equivalent,No,5-6 hours,Overhead light,"B,C,D,F,G,K,M",1,3,1,1,never, , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,1,3
a,8,m,31,r,University/College: Bachelor degree or equivalent,Yes,6-7 hours,Overhead light,"B,C,D,F,M",3,5,4,5, ,daily, , ,,,,,,,,,,,,,,5,4,1,5,5,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,1,1,1,4,1,1,1,1,4,1,1,1,1,5,1,1,1
a,9,m,,r,High school diploma or equivalent ( e.g. NCS or matric ),No,7-8 hours,Desktop light,"C,F,G,L",4,5,1,3, , ,never, ,,,,,,,,,,,,,,4,1,5,4,4,5,3,5,5,5,3,4,4,4,5,5,5,4,4,4,1,5,1,1,1,1,1,1,1,3,1,1,5,1,1,1,5,2,3,1
a,10,m,20,r,Currently registered at University/College for Bachelor degree or equivalent,No,7-8 hours,Desktop light,"C,J,L",1,4,4,3,never,daily, , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1
