ds_owner,id,handedness,gender,age_group,education,color_blindness,hours_sleep,art_light_r_w,light_dir_r_s,photo_training,carto_gis_training,geovis_3d_training,satellite_training,photo_exposure,carto_gis_exposure,geovis_3d_exposure,satellite_exposure,mask,circle_below,circle_above,shapes_01,shapes_02,shapes_03,shapes_04,shapes_05,shapes_06,shapes_07,shapes_08,shapes_09,shapes_10,Q10_R000_0,Q10_R000_270,Q10_R000_292_5,Q10_R000_315,Q10_R000_337_5,Q20_R045_0,Q20_R045_270,Q20_R045_292_5,Q20_R045_315,Q20_R045_337_5,Q30_R090_0,Q30_R090_270,Q30_R090_292_5,Q30_R090_315,Q30_R090_337_5,Q40_R135_0,Q40_R135_270,Q40_R135_292_5,Q40_R135_315,Q40_R135_337_5,Q50_V000_0,Q50_V000_270,Q50_V000_292_5,Q50_V000_315,Q50_V000_337_5,Q60_V045_0,Q60_V045_270,Q60_V045_292_5,Q60_V045_315,Q60_V045_337_5,Q70_V090_0,Q70_V090_270,Q70_V090_292_5,Q70_V090_315,Q70_V090_337_5,Q80_V135_0,Q80_V135_270,Q80_V135_292_5,Q80_V135_315,Q80_V135_337_5
v,1,r,m,22,BSc Environmental Sciences,no,more_than_8,desktop,"A,G",4,4,3,3, , , , ,,,,,,,,,,,,,,5,1,5,5,4,5,5,5,4,4,5,1,5,5,5,5,2,4,5,5,2,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,1,1
v,2,r,m,23,BSc Geography,no,4-5 hours,overhead,"A,B,C,D,E",4,4,4,4, , , , ,,,,,,,,,,,,,,3,5,4,4,1,1,5,1,2,1,2,5,1,1,1,1,5,5,4,1,5,1,1,5,5,3,1,1,5,1,4,1,3,4,5,5,2,1,1,3
v,3,r,f,24,BSc Geography,no,6-7 hours,overhead,B,4,4,4,3, , , , ,,,,,,,,,,,,,,5,1,1,5,1,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
v,4,r,f,21,BSc Environmental Sciences,no,6-7 hours,desktop,"C,D,E,J",4,5,4,4, , , , ,,,,,,,,,,,,,,5,1,1,1,5,5,5,5,5,2,2,4,5,5,5,5,5,5,5,5,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,1,1
v,5,r,f,22,BSc Geoinformatics,no,5-6 hours,overhead,"A,B,C,D,E,F,G",5,5,5,5, ,daily, , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
v,6,l,f,22,BSc Geography,no,6-7 hours,overhead,"B,C,D,H",5,5,5,5, , , , ,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,4,4,2,4,1,1,2,2,1,4,5,5,5,2,5,5,5,4,3,5,4,5,5,5,4,2,1,2,4
v,7,r,f,22,BSc Geoinformatics,no,4-5 hours,desktop,M,5,5,5,5, , , , ,,,,,,,,,,,,,,5,3,5,5,5,5,1,4,5,5,5,2,1,4,4,5,1,2,4,5,1,5,4,1,1,2,5,4,1,1,1,5,4,2,2,2,5,2,1,1
v,8,r,m,22,BSc Env and Engineering Geology,yes,4-5 hours,desktop,"C,G,H,J",3,4,3,3,daily, , , ,,,,,,,,,,,,,,5,1,1,1,5,5,1,1,5,5,5,1,5,5,5,5,1,1,5,5,2,5,1,2,1,1,1,1,1,1,1,5,1,1,1,2,5,4,1,1
v,9,r,m,21,BSc Environmental Sciences,no,more_than_8,overhead,"C,F",4,2,4,3, , , , ,,,,,,,,,,,,,,5,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,1,1,1,1,5,1,1,1,1,4,1,1,1,1,5,5,1,1
v,10,r,m,20,BSc Environmental Sciences,no,5-6 hours,overhead,"C,D,F,M",3,5,3,4, , ,daily,daily,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
v,11,r,f,24,BSc Meteorology,no,5-6 hours,desktop,H,5,5,5,5, ,daily, , ,,,,,,,,,,,,,,5,1,1,5,5,5,2,5,5,5,5,2,5,5,5,5,1,5,5,5,1,5,5,1,1,1,5,5,1,1,1,4,1,1,1,1,5,5,5,2
v,12,r,m,21,BSc Environmental Sciences,no,5-6 hours,overhead,C,5,2,4,5, , , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1
v,13,r,m,24,BSc Environmental Sciences,no,6-7 hours,desktop,J,5,4,4,3, , , , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1
v,14,r,m,22,BSc Environmental Sciences,no,4-5 hours,overhead,"B,C,D,F,K,L,M",4,4,4,4, , , , ,,,,,,,,,,,,,,5,5,5,5,5,5,4,5,4,4,5,3,4,4,5,5,5,5,4,5,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,5,1,3,2
v,15,r,f,22,BSc Geoinformatics,no,5-6 hours,desktop,D,2,2,2,5, , , , ,,,,,,,,,,,,,,3,4,5,4,5,1,1,2,5,2,5,2,5,3,2,5,5,5,2,5,1,1,5,1,1,1,1,1,5,1,2,5,5,1,1,2,5,5,5,5
v,16,b,m,24,BSc Meteorology,no,5-6 hours,overhead,"B,C,D,K,L,M",4,4,3,4, , , , ,,,,,,,,,,,,,,5,2,1,3,5,5,1,5,4,5,5,1,5,5,5,5,1,5,5,5,1,5,2,1,1,1,4,2,2,1,2,5,1,3,2,1,5,5,5,1
v,17,r,f,23,BSc Environmental Sciences,no,6-7 hours,overhead,"E,L",5,5,3,4, , , , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
v,18,b,f,21,BSc Geoinformatics,no,7-8 hours,overhead,"C,J,M",3,4,4,4, , , , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5
v,19,r,f,20,BSc Geoinformatics,no,5-6 hours,overhead,"C,M",5,5,4,5, ,daily, , ,,,,,,,,,,,,,,5,3,2,3,5,3,5,5,3,5,4,3,5,5,5,5,5,5,4,5,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,2,3,2,2,2
